ingredient,status,in_recipes,in_products,is_cold_start,substitutes,substitute_recipe_hits
cassava,cold_start_resolved,True,False,True,potato|yam,potato|yam
jackfruit,cold_start_resolved,False,False,True,mushroom|vegetable,mushroom
kimchi,cold_start_resolved,False,False,True,cabbage|fermented vegetable,cabbage
miso,cold_start_resolved,True,False,True,soy sauce|fermented seasoning,soy sauce
pandan,cold_start_resolved,False,False,True,vanilla|coconut,vanilla|coconut
plantain,cold_start_resolved,True,False,True,banana|potato,banana|potato
tempeh,cold_start_resolved,True,False,True,tofu,tofu
cheese,matched,True,True,False,,
milk,matched,True,True,False,,
pasta,matched,True,True,False,,
rice,matched,True,True,False,,
tomato sauce,matched,True,True,False,,
all-purpose flour,recipe_only,True,False,False,,
allspice,recipe_only,True,False,False,,
almond extract,recipe_only,True,False,False,,
apple,recipe_only,True,False,False,,
apple juice,recipe_only,True,False,False,,
apricot,recipe_only,True,False,False,,
asparagu,recipe_only,True,False,False,,
avocado,recipe_only,True,False,False,,
baking soda,recipe_only,True,False,False,,
balsamic vinegar,recipe_only,True,False,False,,
basil,recipe_only,True,False,False,,
basil leav,recipe_only,True,False,False,,
bean,recipe_only,True,False,False,,
beef broth,recipe_only,True,False,False,,
black oliv,recipe_only,True,False,False,,
black pepper,recipe_only,True,False,False,,
boiling water,recipe_only,True,False,False,,
breadcrumb,recipe_only,True,False,False,,
broccoli,recipe_only,True,False,False,,
broccoli floret,recipe_only,True,False,False,,
brown sugar,recipe_only,True,False,False,,
butter,recipe_only,True,False,False,,
buttermilk,recipe_only,True,False,False,,
cabbage,recipe_only,True,False,False,,
canola oil,recipe_only,True,False,False,,
carrot,recipe_only,True,False,False,,
cauliflower,recipe_only,True,False,False,,
cayenne,recipe_only,True,False,False,,
cayenne pepper,recipe_only,True,False,False,,
celery,recipe_only,True,False,False,,
celery rib,recipe_only,True,False,False,,
chicken,recipe_only,True,False,False,,
chicken breast,recipe_only,True,False,False,,
chicken breast halv,recipe_only,True,False,False,,
chicken broth,recipe_only,True,False,False,,
chicken stock,recipe_only,True,False,False,,
chili powder,recipe_only,True,False,False,,
chiv,recipe_only,True,False,False,,
cider vinegar,recipe_only,True,False,False,,
cilantro,recipe_only,True,False,False,,
cinnamon,recipe_only,True,False,False,,
cinnamon stick,recipe_only,True,False,False,,
clove,recipe_only,True,False,False,,
coconut,recipe_only,True,False,False,,
confectioners sugar,recipe_only,True,False,False,,
cooked rice,recipe_only,True,False,False,,
cooking spray,recipe_only,True,False,False,,
corn,recipe_only,True,False,False,,
cranberry,recipe_only,True,False,False,,
cream,recipe_only,True,False,False,,
cream of chicken soup,recipe_only,True,False,False,,
cream of mushroom soup,recipe_only,True,False,False,,
crushed red pepper flak,recipe_only,True,False,False,,
cumin,recipe_only,True,False,False,,
dark brown sugar,recipe_only,True,False,False,,
dijon mustard,recipe_only,True,False,False,,
dill,recipe_only,True,False,False,,
dry mustard,recipe_only,True,False,False,,
dry white wine,recipe_only,True,False,False,,
egg,recipe_only,True,False,False,,
egg whit,recipe_only,True,False,False,,
egg white,recipe_only,True,False,False,,
egg yolk,recipe_only,True,False,False,,
evaporated milk,recipe_only,True,False,False,,
extra virgin olive oil,recipe_only,True,False,False,,
flour,recipe_only,True,False,False,,
flour tortilla,recipe_only,True,False,False,,
garlic powder,recipe_only,True,False,False,,
ginger,recipe_only,True,False,False,,
granulated sugar,recipe_only,True,False,False,,
green bell pepper,recipe_only,True,False,False,,
green onion,recipe_only,True,False,False,,
green pepper,recipe_only,True,False,False,,
heavy cream,recipe_only,True,False,False,,
hot sauce,recipe_only,True,False,False,,
italian seasoning,recipe_only,True,False,False,,
jalapeno,recipe_only,True,False,False,,
ketchup,recipe_only,True,False,False,,
